   Freq,RealZs,ImagZs
 1.00000e+07, 2.83068e+02,-1.20001e+03
 7.94330e+06, 3.16180e+02,-1.57966e+03
 6.30960e+06, 3.36352e+02,-2.03395e+03
 5.01190e+06, 3.57021e+02,-2.60955e+03
 3.98110e+06, 3.59286e+02,-3.32027e+03
 3.16230e+06, 3.71823e+02,-4.20839e+03
 2.51190e+06, 4.00673e+02,-5.33379e+03
 1.99530e+06, 4.12596e+02,-6.75041e+03
 1.58490e+06, 4.66683e+02,-8.49457e+03
 1.25890e+06, 5.25515e+02,-1.06921e+04
 1.00000e+06, 4.44482e+02,-1.34303e+04
 7.94330e+05, 6.14215e+02,-1.68687e+04
 6.30960e+05, 7.84353e+02,-2.11998e+04
 5.01190e+05, 1.06071e+03,-2.65555e+04
 3.98110e+05, 1.51806e+03,-3.32858e+04
 3.16230e+05, 1.98823e+03,-4.16808e+04
 2.51190e+05, 2.74380e+03,-5.20979e+04
 1.99530e+05, 3.75769e+03,-6.52640e+04
 1.58490e+05, 4.89018e+03,-8.17024e+04
 1.25890e+05, 6.84299e+03,-1.01768e+05
 1.00000e+05, 9.43265e+03,-1.27390e+05
 7.94330e+04, 1.33265e+04,-1.58570e+05
 6.30960e+04, 1.81814e+04,-1.97015e+05
 5.01190e+04, 2.53958e+04,-2.45328e+05
 3.98110e+04, 3.42405e+04,-3.03915e+05
 3.16230e+04, 4.70947e+04,-3.76962e+05
 2.51190e+04, 6.62884e+04,-4.66390e+05
 1.99530e+04, 8.93638e+04,-5.74107e+05
 1.58490e+04, 1.22503e+05,-7.08052e+05
 1.25890e+04, 1.66214e+05,-8.66784e+05
 1.00000e+04, 2.25506e+05,-1.06032e+06
 7.94330e+03, 3.02728e+05,-1.29247e+06
 6.30960e+03, 4.02465e+05,-1.56635e+06
 5.01190e+03, 5.36633e+05,-1.89380e+06
 3.98110e+03, 7.10329e+05,-2.27322e+06
 3.16230e+03, 9.28016e+05,-2.71942e+06
 2.51190e+03, 1.21219e+06,-3.23206e+06
 1.99530e+03, 1.57172e+06,-3.82131e+06
 1.58490e+03, 2.01896e+06,-4.49221e+06
 1.25890e+03, 2.58367e+06,-5.23694e+06
 1.00000e+03, 3.27488e+06,-6.05733e+06
 7.94330e+02, 4.11649e+06,-6.95699e+06
 6.30960e+02, 5.12437e+06,-7.90552e+06
 5.01190e+02, 6.32416e+06,-8.89382e+06
 3.98110e+02, 7.73320e+06,-9.89471e+06
 3.16230e+02, 9.35368e+06,-1.08747e+07
 2.51190e+02, 1.11904e+07,-1.17971e+07
 1.99530e+02, 1.32359e+07,-1.26125e+07
 1.58490e+02, 1.54701e+07,-1.32935e+07
 1.25890e+02, 1.78647e+07,-1.37621e+07
 1.00000e+02, 2.03091e+07,-1.40518e+07
 7.94330e+01, 2.27745e+07,-1.41810e+07
 6.30960e+01, 2.65804e+07,-1.35230e+07
 5.01190e+01, 2.97262e+07,-1.21564e+07
 3.98110e+01, 3.01908e+07,-1.26530e+07
 3.16230e+01, 3.14328e+07,-1.28460e+07
 2.51190e+01, 3.31297e+07,-1.23528e+07
 1.99530e+01, 3.48481e+07,-1.19155e+07
 1.58490e+01, 3.65021e+07,-1.15410e+07
 1.25890e+01, 3.80750e+07,-1.15960e+07
 1.00000e+01, 3.95412e+07,-1.13950e+07
 7.94330e+00, 4.10359e+07,-1.15909e+07
 6.30960e+00, 4.24627e+07,-1.17271e+07
 5.01190e+00, 4.38843e+07,-1.19124e+07
 3.98110e+00, 4.53649e+07,-1.22719e+07
 3.16230e+00, 4.69217e+07,-1.27492e+07
 2.51190e+00, 4.85530e+07,-1.33566e+07
 1.99530e+00, 5.04316e+07,-1.41101e+07
 1.58490e+00, 5.24504e+07,-1.49891e+07
 1.25890e+00, 5.41457e+07,-1.59209e+07
 1.00000e+00, 5.59300e+07,-1.68559e+07
 7.94330e-01, 5.82940e+07,-1.80861e+07
 6.30960e-01, 6.07151e+07,-1.95448e+07
 5.01190e-01, 6.30887e+07,-2.14612e+07
 3.98110e-01, 6.61966e+07,-2.28520e+07
 3.16230e-01, 6.98574e+07,-2.40442e+07
 2.51190e-01, 7.31484e+07,-2.58546e+07
 1.99530e-01, 7.65268e+07,-2.76524e+07
 1.58490e-01, 7.99740e+07,-2.97616e+07
 1.25890e-01, 8.36843e+07,-3.16902e+07
 1.00000e-01, 8.77008e+07,-3.37594e+07
 7.94330e-02, 9.17677e+07,-3.57193e+07
 6.30960e-02, 9.58475e+07,-3.75643e+07
 5.01190e-02, 1.00133e+08,-3.89269e+07
 3.98110e-02, 1.04447e+08,-4.01707e+07
 3.16230e-02, 1.08725e+08,-4.14904e+07
 2.51190e-02, 1.12915e+08,-4.29435e+07
 1.99530e-02, 1.16966e+08,-4.45258e+07
 1.58490e-02, 1.20889e+08,-4.60568e+07
 1.25890e-02, 1.24416e+08,-4.77532e+07
 1.00000e-02, 1.27907e+08,-4.95014e+07
